gene_name	gene_discription	foldchange_T24/T0	foldchange_T48/T0
TcIL3000.A.H_000332800.1	hypothetical protein, conserved	11	13
TcIL3000.A.H_000797900.1	choline/ethanolamine phosphotransferase (CEPT)	10	12
TcIL3000.A.H_000059200.1	retrotransposon hot spot (RHS) protein, putative	10	2
TcIL3000.A.H_000520600.1	hypothetical protein, conserved	10	2
TcIL3000.A.H_000521600.1	hypothetical protein, conserved	9	4.5
TcIL3000.A.H_000263900.1	hypothetical protein, conserved	8	6
TcIL3000.A.H_000514900.1	hypothetical protein, conserved	8	6
TcIL3000.A.H_000326100.1	Peroxisome biogenesis protein 2, putative	7.5	12.5
TcIL3000.A.H_000166100.1	hypothetical protein, conserved	7.33333	4.33333
TcIL3000.A.H_000450800.1	translation initiation factor EIF-2b alpha subunit, putative	7	7
TcIL3000.A.H_001035500.1	hypothetical protein, conserved	7	6
TcIL3000.A.H_000532200.1	pumilio/PUF RNA binding protein 5	6.5	1.5
TcIL3000.A.H_001007500.1	hypothetical protein, conserved	6	8
TcIL3000.A.H_000802000.1	PSP1 C-terminal conserved region containing protein, putative	6	6
TcIL3000.A.H_000667900.1	hypothetical protein, conserved	6	5.5
TcIL3000.A.H_000963200:snoRNA	unspecified product	6	5
TcIL3000.A.H_000197600.1	hypothetical protein, conserved	6	4.5
TcIL3000.A.H_000717100.1	PRMT5 arginine-N-methyltransferase, putative	6	4
TcIL3000.A.H_001006400.1	ubiquitin-conjugating enzyme E2, putative	6	4
TcIL3000.A.H_000966000:snoRNA	unspecified product	6	3
TcIL3000.A.H_000845200.1	sjogren s syndrome nuclear autoantigen 1, putative	6	0
TcIL3000.A.H_000628800.1	Centrosomal spindle body, CEP44, putative	5.5	9.5
TcIL3000.A.H_000318700.1	CAAX amino terminal protease, putative	5.5	5.5
TcIL3000.A.H_000262600.1	hypothetical protein, conserved	5	12
TcIL3000.A.H_000050200.1	Reverse transcriptase (RNA-dependent DNA polymerase), putative	5	8
TcIL3000.A.H_000703800.1	hypothetical protein, conserved	5	7.5
TcIL3000.A.H_000166600.1	hypothetical protein, conserved	5	7
